law_code	law_name	article_number	text
Building	قانون پیش فروش ساختمان	1	ماده 1- هر قرارداد با هر عنوانی که به موجب آن مالک رسمی زمین با شخص دیگری مبادرت به مشارکت در ساخت نماید یا هر قراردادی که به موجب آن شخصی در برابر دیگری متعهد به ساخت و تحویل واحد ساختمانی مشخص گردد و نیز هر نوع انتقال حقوق و تعهدات ناشی از قراردادهای مذکور پیش فروش ساختمان محسوب می شود.( اصلاحی 1403) تبصره - اشخاص ذیل نیز میتوانند در چهارچوب این قانون و قراردادی که بهموجب آن زمینی در اختیارشان قرار میگیرد، اقدام به پیشفروش ساختمان نمایند: 1- سرمایهگذارانی که در ازای سرمایهگذاری از طریق احداث بنا بر روی زمین متعلق به دیگری، واحدهای ساختمانی مشخصی از بنای احداثی بر روی آن زمین، ضمن عقد و بهموجب سند رسمی به آنان اختصاص مییابد. 2- مستاجرین اراضی اعم از ملکی، دولتی، موقوفه که بهموجب سند رسمی حق احداث بنا بر روی عین مستاجره را دارند.
Building	قانون پیش فروش ساختمان	2	ماده 2- در قرارداد پیشفروش باید حداقل به موارد زیر تصریح شود: 1- اسم و مشخصات طرفین قرارداد اعم از حقیقی یا حقوقی 2- پلاک و مشخصات ثبتی و نشانی وقوع ملک 3- متن پروانه ساختمانی صادر شده از مراجع ذی صلاح در صورت صدور، راجع به موضوع معامله به عنوان پیوست قرارداد. (اصلاحی 1403) 4- مشخصات فنی و معماری ساختمانی که واحد در آن احداث میشود؛ مانند موقعیت، کاربری و مساحت کل عرصه و زیربنا، تعداد طبقات و کل واحدها، نما، نوع مصالح مصرفی ساختمان، سیستم گرمایش و سرمایش و قسمتهای مشترک و سایر مواردی که در پروانه ساخت قید شده یا عرفا در قیمت موثر است. 5- بها یا عوض در قراردادهای معوض، تعداد اقساط و نحوه پرداخت 6- شماره قبوض اقساطی برای بها، تحویل و انتقال قطعی 7- زمان تحویل واحد ساختمانی پیشفروششده و تنظیم سند رسمی انتقال قطعی 8- تعیین تکلیف راجع به خسارات، تضمینها و قرارداد بیمهای، تغییر قیمت و تغییر مشخصات مورد معامله 9- تعهدات پیشفروشنده به مرجع صادرکننده پروانه و سایر مراجع قانونی 11 - احکام مذکور در مواد (6)، (7) و (8) و تبصره آن، (9)، (11)، (12)، (14)، (16) این قانون
Building	قانون پیش فروش ساختمان	3	ماده 3- قرارداد پیشفروش و نیز قرارداد واگذاری حقوق و تعهدات ناشی از آن باید با رعایت ماده (2) این قانون از طریق تنظیم سند رسمی نزد دفاتر اسناد رسمی و با درج در سند مالکیت و ارسال خلاصه آن به اداره ثبت محل صورت گیرد.
Building	قانون پیش فروش ساختمان	4	ماده 4- تنظیم قرارداد پیشفروش منوط به ارائه مدارک زیر است: 1- سند رسمی مالکیت یا سند رسمی اجاره با حق احداث بناء یا قرارداد رسمی حاکی از اینکه مورد معامله در ازاء سرمایهگذاری با حق فروش از طریق احداث بناء بر روی عرصه به پیشفروشنده اختصاص یافته است. 3- بیمهنامه مربوط به مسؤولیت موضوع ماده (9) این قانون 5 - پاسخ استعلام از اداره ثبت اسناد و املاک محل وقوع ملک
Building	قانون پیش فروش ساختمان	5	ماده 5- تنظیم قرارداد پیشفروش و واگذاری حقوق و تعهدات ناشی از آن نزد دفاتر اسناد رسمی با پرداخت حقالثبت و بدون ارائه گواهی مالیاتی صرفا در قبال پرداخت حقالتحریر طبق تعرفه خاص قوه قضاییه صورت میگیرد.
Building	قانون پیش فروش ساختمان	6	ماده 6- چنانچه پیشفروشنده در تاریخ مقرر در قرارداد، واحد پیشفروششده را تحویل پیشخریدار ندهد و یا به تعهدات خود عمل ننماید علاوه بر اجرای بند (9) ماده (2) این قانون مکلف است به شرح زیر جریمه تاخیر به پیشخریدار بپردازد مگر اینکه به مبالغ بیشتری به نفع پیشخریدار توافق نمایند. اجرای مقررات این ماده مانع از اعمال خیارات برای پیشخریدار نیست. 1- درصورتی که واحد پیشفروششده و بخشهای اختصاصی نظیر توقفگاه (پارکینگ) و انباری در زمان مقرر قابل بهرهبرداری نباشد، تا زمان تحویل واحد به پیشخریدار، معادل اجرتالمثل بخش تحویل نشده. 2- درصورت عدم انجام تعهدات در قسمتهای مشاعی، روزانه به میزان نیمدرصد (5/ 0%) بهای روز تعهدات انجامنشده به میزان قدرالسهم پیشخریدار 3- درصورت عدم انجام تعهدات در قسمتهای خدمات عمومی موضوع بند (9) ماده (2) این قانون از قبیل خیابان، فضای سبز، مساجد، مدارس و امثال آن روزانه به میزان یک در هزار بهای روز تعهدات انجام شده به میزان قدرالسهم پیشخریدار 4- درصورت عدم اقدام به موقع به سند رسمی انتقال، روزانه به میزان یک در هزار مبلغ قرارداد
Building	قانون پیش فروش ساختمان	7	ماده 7- درصورتی که مساحت بنا براساس صورتمجلس تفکیکی، کمتر یا بیشتر از مقدار مشخص شده در قرارداد باشد، مابهالتفاوت براساس نرخ مندرج در قرارداد مورد محاسبه قرار خواهد گرفت، لیکن چنانچه مساحت بنا تا پنج درصد (5 %) افزون بر زیربنای مقرر در قرارداد باشد، هیچکدام از طرفین حق فسخ قرارداد را ندارند و در صورتیکه بیش از پنج درصد (5 %) باشد صرفا خریدار حق فسخ قرارداد را دارد. چنانچه مساحت واحد تحویلشده کمتر از نود و پنج درصد (95 %) مقدار توافقشده باشد، پیشخریدار حق فسخ قرارداد را دارد یا میتواند خسارت وارده را بر پایه قیمت روز بنا و براساس نظر کارشناسی از پیشفروشنده مطالبه کند.
Building	قانون پیش فروش ساختمان	8	ماده 8- در تمامی مواردی که به دلیل تخلف پیشفروشنده، پیشخریدار حق فسخ خود را اعمال مینماید، پیشفروشنده باید خسارت وارده را بر مبنای مصالحه طرفین یا برآورد کارشناس مرضیالطرفین به پیشخریدار بپردازد. تبصره - درصورت عدم توافق طرفین، پیشفروشنده باید تمام مبالغ پرداختی را براساس قیمت روز بنا، طبق نظر کارشناس منتخب مراجع قضایی همراه سایر خسارات قانونی به پیشخریدار مسترد نماید.
Building	قانون پیش فروش ساختمان	9	ماده 9- پیشفروشنده در قبال خسارات ناشی از عیب بنا و تجهیزات آن و نیز خسارات ناشی از عدم رعایت ضوابط قانونی، در برابر پیشخریدار و اشخاص ثالث مسئول است و باید مسئولیت خود را از این جهت بیمه نماید. چنانچه میزان خسارت وارده بیش از مبلغی باشد که از طریق بیمه پرداخت میشود، پیشفروشنده ضامن پرداخت مابهالتفاوت خسارت وارده خواهد بود.
Building	قانون پیش فروش ساختمان	10	ماده 10- درمواردی که بانکها به پیشخریداران براساس قرارداد پیشفروش، تسهیلات خرید میدهند، وجه تسهیلات از طرف پیشخریدار توسط بانک به حساب پیشفروشنده واریز و مالکیت عرصه به نسبت سهم واحد پیشخریداریشده و نیز حقوق پیشخریدار نسبت به آن واحد به عنوان تضمین اخذ میگردد.
