law_code	law_name	chapter	article_number	text
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	1	ماده 1- مجازات­ های مقرر در کتاب پنجم قانون مجازات اسلامی تعزیرات و مجازات‌های بازدارنده مصوب 1375/3/2 با اصلاحات و الحاقات بعدی به­ شرح زیر کاهش یافته یا تبدیل می­ شود: الف- مجازات حبس موضوع ماده (614) قانون(به استثنای تبصره آن) به حبس درجه شش؛ ب- مجازات حبس موضوع ماده (621) قانون، در صورتی که ارتکاب جرم به عنف یا تهدید باشد به حبس درجه چهار و در غیر این­صورت به حبس درجه پنج؛ پ- تبصره ماده (621) قانون، نسخ و در مورد شروع به جرم آن مطابق ماده (122) قانون مجازات اسلامی مصوب 1392/2/1 عمل می‌شود. ت- مجازات حبس موضوع ماده (677) قانون، در صورتی که میزان خسارت‌وارده یکصد میلیون (100.000.000) ریال یا کمتر باشد به جزای نقدی تا دو برابر معادل خسارت‌وارده؛ ث- مجازات حبس موضوع ماده (684) قانون به حبس درجه شش؛ ج- مجازات موضوع مواد (608) و (697) قانون به جزای نقدی درجه شش؛
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	2	ماده 2- یک تبصره به‌شرح زیر به ماده (18) قانون مجازات اسلامی مصوب 1392/2/1 با اصلاحات و الحاقات بعدی الحاق می­ شود: تبصره- چنانچه دادگاه در حکم صادره مجازات حبس را بیش از حداقل مجازات مقرر در قانون تعیین کند، باید مبتنی ‌بر بندهای مقرر در این ماده و یا سایر جهات قانونی، علت صدور حکم به بیش از حداقل مجازات مقرر قانونی را ذکر کند. عدم رعایت مفاد این تبصره موجب مجازات انتظامی درجه چهار می‌باشد.
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	3	ماده 3- یک تبصره به‌شرح زیر به‌عنوان تبصره (6) به ماده (19) قانون مجازات اسلامی مصوب 1392/2/1 الحاق می‌شود: تبصره6- تمام حبس­‌های ابد غیرحدی مقرر در قانون به حبس درجه یک تبدیل می­شود.
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	4	ماده 4- صدر ماده (23) قانون مجازات اسلامی مصوب 1392/2/1 به‌شرح زیر اصلاح و بندها و تبصره‌های ذیل آن ابقاء می‌شود: ماده(23)- دادگاه می‌تواند فردی را که به حد، قصاص یا مجازات تعزیری محکوم کرده است، با رعایت شرایط مقرر در این قانون، متناسب با جرم ارتکابی و خصوصیات وی به یک یا چند مجازات از مجازات‌های تکمیلی بندها و تبصره‌های این ماده محکوم نماید.
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	5	ماده 5- ماده (28) قانون مجازات اسلامی مصوب 1392/2/1 به‌شرح زیر اصلاح می‌شود: ماده(28)- کلیه مبالغ مذکور در این قانون و سایر قوانین از تاریخ تصویب آنها در مورد تمام جرائم و تخلفات از جمله مجازات نقدی، به‌تناسب نرخ تورم اعلام‌شده از سوی بانک مرکزی، هر سه سال یک‌بار به‌پیشنهاد وزیر دادگستری و تصویب هیأت‌وزیران تعدیل و در مورد احکامی که بعد از آن صادر می‌شود، لازم‌الاجراء می‌گردد.
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	6	ماده 6- ماده (37) قانون مجازات اسلامی مصوب 1392/2/1 به‌شرح زیر اصلاح و یک تبصره به آن الحاق می‌شود: ماده(37)‌- در صورت وجود یک یا چند جهت از جهات تخفیف، دادگاه می‌تواند مجازات تعزیری را به‌نحوی که به حال متهم مناسب‌تر باشد به‌شرح زیر تقلیل دهد یا تبدیل کند: الف‌- تقلیل مجازات حبس به میزان یک تا سه درجه در مجازات‌های درجه چهار و بالاتر؛ ب- تقلیل مجازات حبس درجه پنج و درجه شش به میزان یک تا دو درجه یا تبدیل این مجازات و مجازات حبس درجه هفت حسب مورد به جزای نقدی متناسب با همان درجه؛ پ‌- تبدیل مصادره کل اموال به جزای نقدی درجه یک تا چهار؛ ت- تقلیل انفصال دائم به انفصال موقت به میزان پنج تا پانزده سال؛ ث- تقلیل سایر مجازات‌های تعزیری به میزان یک یا دو درجه یا تبدیل آن به مجازات دیگر از همان درجه یا یک درجه پایین‌تر؛ تبصره‌- چنانچه در اجرای مقررات این ماده یا سایر مقرراتی که به‌موجب آن مجازات تخفیف می­یابد، حکم به حبس کمتر از نود و یک روز صادر شود، به مجازات جایگزین مربوط تبدیل می­شود.
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	7	ماده 7- یک تبصره به‌شرح زیر به ماده (47) قانون مجازات اسلامی مصوب 1392/2/1 الحاق می‌شود: تبصره- در جرائم علیه امنیت داخلی و خارجی کشور در صورت همکاری مؤثر مرتکب در کشف جرم و شناسایی سایر متهمان، تعلیق بخشی از مجازات بلامانع است. همچنین تعلیق مجازات جرائم علیه عفت عمومی (به جز جرائم موضوع مواد (639) و (640) کتاب پنجم قانون مجازات اسلامی تعزیرات و مجازات‌های بازدارنده مصوب 1375/3/2 با اصلاحات و الحاقات بعدی) و کلاهبرداری و کلیه جرائم در حکم کلاهبرداری و جرائمی که مجازات کلاهبرداری درباره آنها مقرر شده یا طبق قانون کلاهبرداری محسوب می‌شود و شروع به جرائم مقرر در این تبصره، بلامانع است. رعایت ماده (46) این قانون در خصوص این تبصره الزامی است.
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	8	ماده 8- یک تبصره به‌شرح زیر به ماده (57) قانون مجازات اسلامی مصوب 1392/2/1 الحاق می‌شود: تبصره- مقررات این ماده در مورد حبس‌های تعزیری درجه دو، درجه سه و درجه چهار، در صورت گذراندن یک‌چهارم مدت حبس قابل اِعمال است.
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	9	ماده 9- تبصره ماده (62) قانون مجازات اسلامی مصوب 1392/2/1 با عنوان تبصره (1) ابقاء و دو تبصره به‌عنوان تبصره‌های (2) و (3) به‌شرح زیر به آن الحاق می‌شود: تبصره2- مقررات این ماده در مورد حبس‌های تعزیری درجه دو، درجه سه و درجه چهار نیز پس از گذراندن یک‌چهارم مجازات‌های حبس قابل اِعمال است. تبصره3- قوه قضائیه می­تواند برای اجرای تدابیر نظارتی موضوع این ماده یا سایر مقرراتی که به­موجب آن متهم یا محکوم تحت نظارت الکترونیکی قرار می‌گیرد، با نظارت سازمان زندان­ها و اقدامات تأمینی و تربیتی کشور از ظرفیت بخش خصوصی استفاده کند. آیین­نامه اجرائی این تبصره توسط معاونت حقوقی قوه قضائیه با همکاری مرکز آمار و فناوری و سازمان زندان­ها و اقدامات تأمینی و تربیتی کشور تهیه می‌شود و به‌تصویب رئیس قوه قضائیه می‌رسد.
habs_taziri	قانون کاهش مجازات حبس تعزیری	فصل اول- قانون کاهش مجازات حبس تعزیری مصوب 1399	10	ماده 10- ماده (72) قانون مجازات اسلامی مصوب 1392/2/1 به‌شرح زیر اصلاح می‌شود: ماده(72)- تعدّد جرائم عمدی که مجازات قانونی حداقل یکی از آنها بیش از یک سال حبس باشد، مانع از صدور حکم به مجازات جایگزین حبس است.
