law_code	law_name	article_number	text
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	1	ماده 1- دانشگاه ها، مراکز و مؤسسات آموزش عالی و پژوهشی و فرهنگستان ها و پارک های علم و فناوری که دارای مجوز از شورای گسترش آموزش عالی وزارتخانههای علوم، تحقیقات و فناوری و بهداشت، درمان و آموزش پزشکی و سایر مراجع قانونی ذیربط میباشند، بدون رعایت قوانین و مقررات عمومی حاکم بر دستگاه های دولتی بهویژه قانون محاسبات عمومی کشور، قانون مدیریت خدمات کشوری، قانون برگزاری مناقصات و اصلاحات و الحاقات بعدی آنها و فقط در چهارچوب مصوبات و آییننامههای مالی، معاملاتی، اداری، استخدامی و تشکیلاتی مصوب هیأت امنا که حسب مورد به تأیید وزیران علوم، تحقیقات و فناوری و بهداشت، درمان و آموزش پزشکی و در مورد فرهنگستان ها به تأیید رئیسجمهور و در مورد دانشگاه ها و مراکز آموزش عالی و تحقیقاتی وابسته به نیروهای مسلح به تأیید رئیس ستاد کل نیروهای مسلح میرسد، عمل میکنند. تبصره1. اعتبارات اختصاصیافته از منابع عمومی دولت به این مراکز و مؤسسات، کمک تلقی و بعد از پرداخت، به هزینه قطعی منظور میشود و براساس بودجه تفصیلی مصوب هیأت امنا و با مسؤولیت آنها قابل هزینه است. تبصره2. هرگونه استخدام جدید از محل منابع عمومی و توسعه تشکیلات اداری منوط به تأیید وزیران علوم، تحقیقات و فناوری و بهداشت، درمان و آموزش پزشکی (حسب مورد) و سازمان اداری و استخدامی کشور است. تبصره3. هیأت امنا بر اساس ماده(11) قانون الحاق برخی مواد به قانون تنظیم بخشی از مقررات مالی دولت(2) مصوب 4/12/1393 نمیتواند علاوه بر آنچه که از محل منابع عمومی و درآمدهای اختصاصی برای دانشگاه ها و مراکز مزبور پادار میشود تعهد جدیدی برای سال تصمیمگیری و سالهای بعد مصوب کند. تبصره4. صندوقهای رفاه دانشجویان مشمول این ماده و تبصرههای آن میشوند. تبصره5 . هرگونه اصلاح ساختار و مقررات مالی، اداری، معاملاتی، استخدامی و تشکیلاتی دانشگاه ها و مؤسسات آموزش عالی و پژوهشی دولتی و همچنین فرهنگستانهای تخصصی فقط مشمول این ماده و تبصرههای آن است. تبصره6 . دولت موظف است برای مشارکت انجمنهای علمی، نخبگان و دانشمندان کشور در همایشها و مجامع علمی و پژوهشی بینالمللی و برتر جهان و بهرهگیری از توانمندیهای دانشمندان و نخبگان ایران در جهان و فراهم کردن فرصتهای مطالعاتی مناسب در داخل و خارج کشور سازوکار لازم را ایجاد نماید. تبصره7. بهمنظور گسترش و ارتقای کیفیت و اثربخشی آموزش عالی و مهارتآموزی، دولت موظف است نسبت به تحقق موارد زیر اقدام کند: 1. اعضای هیأت علمی میتوانند با موافقت هیأت امنای همان دانشگاه نسبت به تشکیل مؤسسات و شرکتهای صددرصد(100%) خصوصی دانشبنیان اقدام و یا در این مؤسسات و شرکتها مشارکت کنند. این مؤسسات و شرکتها برای انعقاد قرارداد پژوهشی مستقیم و یا غیرمستقیم با دستگاه های اجرائی، مشمول قانون منع مداخله کارکنان دولت در معاملات دولتی و اصلاحات بعدی آن نیستند. 2. به دولت اجازه داده میشود بهمنظور حمایت از دانشجویان دانشگاه های دولتی، آزاد اسلامی، علمی . کاربردی و پیامنور و دانشگاه های فنی و حرفهای و مؤسسات آموزشعالی غیردولتی که دارای مجوز از وزارتخانههای علوم، تحقیقات و فناوری یا بهداشت، درمان و آموزش پزشکی میباشند، تسهیلات اعتباری در اختیار صندوق رفاه دانشجویان و یا سایر نهادهای ذیربط برای پرداخت وام بلندمدت قرضالحسنه به دانشجویان قرار دهد. 3. وزارتخانههای علوم، تحقیقات و فناوری و بهداشت، درمان و آموزش پزشکی مکلفند با همکاری وزارت تعاون، کار و رفاه اجتماعی و مرکز آمار ایران، رشتههای تحصیلی خود را متناسب با بازار کار تعیین نمایند. 4. دانشگاه پیامنور مکلف است شصتدرصد(60%) از درآمدهای حاصل از شهریه دانشجویان هر واحد را برای توسعه همان واحد و مابقی را برای توسعه و تجهیز واحدهای دانشگاهی در مناطق محروم اختصاص دهد.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	2	ماده 2- الف. دانشگاه های کشور، حسب مورد به تشخیص وزارتخانههای علوم، تحقیقات و فناوری و بهداشت، درمان و آموزش پزشکی با تصویب شورای گسترش آموزشعالی وزارتخانههای مربوط، میتوانند نسبت به تأسیس شعب در مناطق آزاد تجاری - صنعتی و نیز در خارج از کشور بهصورت خودگردان و با دریافت شهریه از داوطلبان اقدام کنند. ب . پذیرش دانشجو در شعب دانشگاه ها درمناطق آزاد تجاری . صنعتی، برای دانشجویان غیرایرانی بدون آزمون سراسری انجام میشود. ضوابط پذیرش دانشجو برای دوره کارشناسی توسط شورای سنجش و پذیرش دانشجو موضوع ماده(2) قانون سنجش و پذیرش دانشجو در دانشگاه ها و مراکز آموزش عالی کشور مصوب 1392 و برای دورههای تحصیلات تکمیلی با پیشنهاد دانشگاه ها و حسب مورد با تأیید یکی از وزارتخانههای علوم، تحقیقات و فناوری یا بهداشت، درمان و آموزش پزشکی تعیین میشود. تبصره . دانشجویان ایرانی شعب مناطق آزاد تجاری . صنعتی، همانند سایر دانشجویان از معافیت تحصیلی برخوردار هستند. این بند به ماده (5) قانون سنجش و پذیرش دانشجو در دانشگاه ها و مراکز آموزش عالی کشور مصوب 10/6/1392 الحاق میشود. پ - کلیه دانشگاه ها و مؤسسات آموزشی و پژوهشی و مراکز علمی که از وزارتخانههای علوم، تحقیقات و فناوری و بهداشت، درمان و آموزش پزشکی اخذ مجوز نمودهاند و دانشگاه آزاد اسلامی مکلفند حداقل بیست درصد (20%) اعضای هیأت علمی مورد نیاز خود را از بین جامعه ایثارگران شامل فرزندان و همسران شهدا، جانبازان پانزده درصد (15%) و بالاتر، آزادگان و همسران و فرزندان آنان، همسران و فرزندان جانبازان بیست و پنج درصد (25%) و بالاتر، رزمندگان با حداقل شش ماه سابقه حضور در جبهه که دارای مدرک علمی دکتری مورد تأیید وزارتخانههای علوم، تحقیقات و فناوری و بهداشت، درمان و آموزش پزشکی میباشد و شرایط علمی مصوب شورایعالی انقلاب فرهنگی را داشته باشند، حسب مورد از طریق استخدام و یا موافقت با انتقال کارکنان دیگر دستگاه ها یا تبدیل وضعیت کارکنان غیر هیأت علمی، چنانچه شرایط علمی لازم را داشته باشند تأمین و از ابتداء آنان را به صورت عضو هیأت علمی رسمی قطعی با احتساب سوابق آموزشی پژوهشی و اجرائی مرتبط و تأثیر آن در پایه و مرتبه علمی و با رعایت صلاحیتهای اخلاقی استخدام کنند. احکام و امتیازات این بند شامل اعضاء هیأت علمی فعلی دارای سوابق ایثارگری فوق نیز میشود. مسؤولیت اجرای احکام این ماده به طور مستقیم برعهده وزیر و رئیس دستگاه های مذکور است در اجرای این حکم مقامات یادشده مکلف به اتخاذ تصمیم می باشند.(اصلاحی) تبصره1 اصلاحی - مشمولان این بند با سی و پنج سال خدمت و حداقل شصت و پنج سال سن بازنشسته میشوند. تبصره2 اصلاحی - در صورت تمایل فرد به بازنشستگی پس از اتمام سی سال خدمت و یا حداکثر شصت سال سن میتواند درخواست بازنشستگی نماید.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	3	ماده 3- بهمنظور فراهم نمودن شرایط رقابتی و افزایش کارآمدی بیمههای بازنشستگی و جلوگیری از ایجاد هرگونه انحصار یا امتیاز ویژه برای صندوقهای بازنشستگی اعم از خصوصی، تعاونی یا دولتی اجازه داده میشود صندوقهای بازنشستگی غیردولتی با تضمین پوشش تعهدات آتی بیمهشدگان بازنشسته براساس آییننامهای که به پیشنهاد وزارت تعاون، کار و رفاه اجتماعی و سازمان برنامه و بودجه کشور به تصویب هیأت وزیران میرسد، ایجاد گردد. تبصره . فعالیت اینگونه صندوقها در لایه بیمههای مکمل و در قالب نظام تأمین اجتماعی چند لایه است.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	4	ماده 4- کلیه اتباع خارجی مقیم کشور موظف به دارا بودن بیمهنامه برای پوشش حوادث و بیماریهای احتمالی در مدت اقامت در ایران می باشند. تعیین میزان تعرفه مطابق مقررات بر عهده بیمه مرکزی ایران است که به تأیید سازمان برنامه و بودجه کشور می رسد.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	5	ماده 5- بهمنظور برقراری بیمه تکمیلی بازنشستگی، صندوقهای بیمه اجتماعی مجازند نسبت به افتتاح حسابهای انفرادی شخصی جهت بیمه شدگان با مشارکت فرد بیمهشده اقدام نمایند.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	6	ماده 6- الف . کارکنان تحت پوشش صندوقهای بازنشستگی میتوانند در صورت انتقال به سایر دستگاه ها یا بازخریدی، اخراج، استعفاء و استفاده از مرخصی بدون حقوق، بدون محدودیت زمان کماکان مشمول صندوق بازنشستگی خود باشند. در این صورت حق بیمه سهم بیمهشده و کارفرما بهاستثنای افراد منتقلشده بهعهده بیمهشده است. ب . دولت موظف است هرساله اعتبار لازم موضوع تبصره(2) ماده(28) قانون تأمین اجتماعی مصوب 3/4/1354 را در ردیف جداگانهای در قانون بودجه سالانه پیشبینی کند. پ . از زمان لازمالاجراء شدن این قانون در صورتیکه دریافتی ایثارگران و فرزندان شهدا مشمول صندوق تأمین اجتماعی و بازنشستگی دیگری گردد، در صورت پرداخت کسور سهم بیمهشده و دولت و کارفرما مربوط به حق بیمه صندوق تأمین اجتماعی توسط این افراد و با تحقق شرایط بازنشستگی آنها در هر صندوق، بازنشستگی در هر صندوق بهطور مستقل انجام گیرد و از مستمری بازنشستگی هر دو صندوق بهرهمند میشوند.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	7	ماده 7- شورای عالی سلامت و امنیت غذایی با وظایف و ترکیب زیر تشکیل میشود: الف . وظایف: 1. سیاستگذاری برای ارتقای سلامت و امنیت غذایی و سلامت مواد غذایی صادراتی و وارداتی 2. بررسی و تصویب برنامهها و تدابیر بخشی و فرابخشی در اجرای سیاستهای ناظر بر سلامت و امنیت غذایی 3. تعیین و پایش شاخصهای اساسی سلامت و امنیت غذایی 4. تصویب استانداردهای ملی پیوست سلامت برای طرحهای بزرگ توسعهای 5 . تصویب برنامه اجرائی سامانه «خدمات جامع و همگانی سلامت و امنیت غذایی» 6 . تصویب سازوکارهای نظارتی و رسیدگی به گزارشهای نظارتی 7. ایجاد هماهنگی میان دستگاه های اجرائی مربوط ب . ترکیب: 1. رئیسجمهور (رئیس) 2. وزیر بهداشت، درمان و آموزش پزشکی (دبیر) 3. رئیس سازمان برنامه و بودجه کشور 4. وزیر کشور 5 . وزیر صنعت، معدن و تجارت 6 . وزیر تعاون، کار و رفاه اجتماعی 7. وزیر آموزش و پرورش 8 . وزیر جهاد کشاورزی 9. وزیر ورزش و جوانان 10. رئیس سازمان حفاظت محیط زیست 11. رئیس سازمان صدا و سیمای جمهوری اسلامی ایران 12. یک نفر از اعضای هر یک از کمیسیونهای بهداشت و درمان، اجتماعی و برنامه و بودجه و محاسبات مجلس شورای اسلامی بهعنوان ناظر 13. رئیس کمیته امداد امام خمینی(ره) 14. رئیس سازمان ملی استاندارد و تحقیقات صنعتی ایران 15. یک نفر بهعنوان نماینده انجمنهای علمی و تخصصی حوزه سلامت بنا به پیشنهاد وزیر بهداشت، درمان و آموزش پزشکی و تأیید رئیس شورای عالی 16. یک نفر بهعنوان نماینده انجمنهای علمی و تخصصی حوزه امنیت غذا و تغذیه بنا به پیشنهاد وزرای بهداشت، درمان و آموزش پزشکی و جهاد کشاورزی و تأیید رئیس شورای عالی تبصره . مصوبات شورا با تأیید رئیس جمهور قابل اجراء است. آییننامه اجرائی این بند به پیشنهاد مشترک سازمان برنامه و بودجه کشور و وزارتخانههای بهداشت، درمان و آموزش پزشکی و جهاد کشاورزی تهیه میشود و حداکثر ظرف مدت ششماه پس از ابلاغ این قانون به تصویب هیأتوزیران میرسد. پ . هرگونه واردات تجاری، ذخیرهسازی، توزیع، عرضه و فروش کالاهای دارویی، واکسن، مواد زیستی(بیولوژیک)، طبیعی و سنتی، مکملهای تغذیهای، آرایشی، بهداشتی، غذایی و ملزومات و تجهیزات پزشکی که در سامانه رهگیری و کنترل اصالت طبق ضوابطی که وزارت بهداشت، درمان و آموزش پزشکی اعلام میکند، ثبت نشده باشد جرم محسوب میشود و با مجرم مطابق قانون مبارزه با قاچاق کالا و ارز مصوب 3/10/1392 برخورد میشود. مسؤولیت اجرای این بند در مورد سموم و کود شیمیایی و همچنین کالاهای با مصرف دامی در چهارچوب وظایف مذکور در این ماده برعهده وزارت جهاد کشاورزی و سازمان دامپزشکی است. ت . بهمنظور کنترل کیفی محصولات کشاورزی و دامی و صیانت از سلامت آحاد جمعیت کشور وزارت بهداشت، درمان و آموزش پزشکی موظف است محصولات ارائهشده به بازار مصرف را از نظر میزان آلایندههای شیمیایی بررسی، اعلام و از توزیع مواد غیرمجاز جلوگیری کند. تمام مراکز توزیع مواد غذایی وابسته به شهرداریها و سایر دستگاه های اجرائی موظفند از عرضه محصولات دارای آلاینده شیمیایی در مراکز و مجتمعهای تحت نظارت و مدیریت خود جلوگیری کنند. ث . مراکز تولید و توزیع فرآوردههای خام دامی، دارو و فرآوردههای زیستی (بیولوژیک) دامپزشکی موظفند در چهارچوب ضوابط فنی و بهداشتی که از طرف سازمان دامپزشکی اعلام میشود، نسبت به استقرار سامانههای بهداشتی مربوطه اقدام کنند. افراد حقوقی غیردولتی میتوانند با اخذ مجوز مربوط از سازمان دامپزشکی کشور در زمینه ارائه خدمات اجراء و ممیزی غیررسمی این سامانهها فعالیت کنند. آییننامه اجرائی این بند، حداکثر ظرف مدت ششماه پس از ابلاغ این قانون توسط وزارت جهادکشاورزی (سازمان دامپزشکی کشور) تهیه میشود و به تصویب هیأت وزیران میرسد. آییننامه اجرایی بند (ث) ماده (7) قانون احکام دائمی برنامههای توسعه کشور را اینجا بخوانید ج . هرگونه تبلیغات خدمات و کالاهای آسیبرسان به سلامت موضوع ماده(48) قانون الحاق موادی به قانون تنظیم بخشی از مقررات مالی دولت(2) بر اساس تشخیص و اعلام وزارت بهداشت، درمان و آموزش پزشکی و سازمان ملی استاندارد ایران از سوی همه رسانهها ممنوع است. چ . واردات هر نوع کالا با رعایت استانداردها و یا ضوابط فنی و ایمنی و بهداشتی قرنطینهای است که پس از تصویب مرجع ذیصلاح مربوط، توسط وزارت صنعت، معدن و تجارت به گمرک و سایر مراجع مربوط ابلاغ میشود. رعایت این ضوابط برای تعیین تکلیف کالاهای متروکه، ضبطی، قطعیتیافته، کالاهای بلاصاحب و صاحب متواری و مکشوفات قاچاق الزامی است و ضوابط فنی و ایمنی این کالاها از طریق سازمان ملی استاندارد ایران و ضوابط بهداشتی قرنطینهای از طریق وزارت بهداشت، درمان و آموزش پزشکی و وزارت جهاد کشاورزی حسب مورد تأیید میشود.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	8	ماده 8- عقد قرارداد و هرگونه پرداخت مازاد بر تعرفه تعیینشده برای آندسته از خدمات تشخیصی، بهداشتی و درمانی که در بسته بیمه پایه سلامت اعلام میشود توسط شرکتهای بیمه تجاری و سازمان بیمه سلامت ایران با اشخاص حقیقی و حقوقی تحت هر عنوان ممنوع است. پرداخت حق سرانه بیمه تکمیلی به جز در مواردی که در قوانین خاص معین شده است، بر عهده افراد بیمهشده است. منظور از بیمه تکمیلی فهرست خدماتی است که در تعهد بیمه پایه سلامت نیست. تبصره1. کلیه دستگاه های اجرائی موضوع ماده(5) قانون مدیریت خدمات کشوری موظف به اجرای موضوع این حکم و رعایت تعرفههای مصوب هستند. تبصره2. وزارتخانههای امور اقتصادی و دارایی(بیمه مرکزی ایران) و تعاون، کار و رفاه اجتماعی حسب مورد مسؤول حسن اجرای این ماده میباشند.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	9	ماده 9- الف . شورای عالی بیمه سلامت کشور مکلف است هر ساله قبل از تصویب بودجه سال بعد در هیأت وزیران نسبت به بازنگری ارزش نسبی و تعیین تعرفه خدمات سلامت برای کلیه ارائه دهندگان خدمات بهداشت، درمان و تشخیص در کشور اعم از دولتی و غیردولتی و خصوصی با رعایت اصل تعادل منابع و مصارف و قیمت واقعی در جهت تقویت رفتارهای مناسب بهداشتی، درمانی و مبانی محاسباتی واحد و یکسان با حق فنی واقعی یکسان برای بخش دولتی و غیردولتی در شرایط رقابتی و بر اساس بند(8) ماده (1) و مواد (8) و (9) قانون بیمه همگانی خدمات درمانی کشور مصوب 3/8/1373 اقدام و مراتب را پس از تأیید سازمان برنامه و بودجه کشور، قبل از پایان هر سال برای سال بعد جهت تصویب به هیأت وزیران ارائه کند. این بند بهعنوان یک ماده بعد از ماده (2) قانون بیمه همگانی خدمات درمانی کشور مصوب 3/8/1373 الحاق میگردد. ب . آزمایش اجباری برای تأیید سلامت کلیه رانندگان وسایل حمل و نقل عمومی مشمول بیمه سلامت است. هزینههای مربوط از محل اعتبار موضوع ماده(30) قانون الحاق برخی مواد به قانون تنظیم بخشی از مقررات مالی دولت(2) تأمین میشود.
ahkam_daemi_tosee_keshvar	قانون احکام دائمی برنامه‌های توسعه کشور	10	ماده 10- بهمنظور یکپارچهسازی، ساماندهی و رفع موازیکاری در نظام آماری کشور: الف . مرکز آمار ایران مرجع رسمی تهیه، اعلام و انتشار آمارهای رسمی کشور است. این بند قبل از ماده (2) قانون مرکز آمار ایران مصوب 10/11/1353 الحاق میشود. ب . مرکز آمار ایران با همکاری دستگاه های اجرائی نسبت به تهیه برنامه ملی آماری کشور مبتنی بر فناوریهای نوین با رعایت استانداردها و ضوابط تولید و انتشار آمارهای رسمی، استقرار نظام آمارهای ثبتی و استقرار و تغذیه مستمر پایگاه اطلاعات آماری کشور اقدام کند. این برنامه با پیشنهاد مرکز آمار ایران و تصویب شورایعالی آمار ایران برای دستگاه های اجرائی لازمالاجراء است. پ . دستگاه های اجرائی مانند بانک مرکزی مکلفند در حدود وظایف قانونی خود و در چهارچوب ضوابط و استانداردهای شورای عالی آمار ایران، آمار تخصصی حوزههای مربوط به خود را تولید و اعلام کنند. در اینصورت آمار منتشره آمار تخصصی رسمی است. بندهای(ب) و (پ) بهعنوان مواد جدید بعد از ماده (9) قانون مرکز آمار ایران الحاق میگردد.
