law_code	law_name	article_number	text
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	1	ماده 1- در ماده(7) قانون آیین دادرسی کیفری مصوب4/12/1392 تاریخ «4/4/1375» به «2/3/1375» اصلاح می‌گردد.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	2	ماده 2- تبصره (2) ماده (13) قانون به شرح زیر اصلاح می­شود: تبصره2- هرگاه مرتکب جرم پیش از صدور حکم قطعی مبتلا به جنون شود، تا زمان افاقه، تعقیب و دادرسی متوقف می‌شود. مگر آنکه در جرائم حق‌الناسی شرایط اثبات جرم به نحوی باشد که فرد مجنون یا فاقد هوشیاری در فرض افاقه نیز نتواند از خود رفع اتهام کند. در این‌صورت به ولی یا قیم یا سرپرست قانونی وی ابلاغ می‌شود که ظرف مهلت پنج روز نسبت به معرفی وکیل اقدام نماید. درصورت عدم معرفی، صرف‌نظر از نوع جرم ارتکابی و میزان مجازات آن وفق مقررات برای وی وکیل تسخیری تعیین می‌شود و تعقیب و دادرسی ادامه می‌یابد.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	3	ماده 3- در بند (ب) ماده (29) قانون عبارت «سازمان اطلاعات سپاه» بعد از عبارت «وزارت اطلاعات» اضافه می‌گردد.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	4	ماده 4- تبصره ماده(48) قانون حذف و تبصره زیر جایگزین آن می‌شود: تبصره - در جرائم علیه امنیت داخلی یا خارجی و همچنین جرائم سازمان‌یافته که مجازات آنها مشمول ماده(302) این قانون است، در مرحله تحقیقات مقدماتی طرفین دعوی، وکیل یا وکلای خود را از بین وکلای رسمی دادگستری که مورد تأیید رئیس قوه‌قضائیه باشد، انتخاب می‌نمایند. اسامی وکلای مزبور توسط رئیس قوه‌قضائیه اعلام می‌گردد.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	5	ماده 5- ماده (66) قانون و تبصره (1) آن به شرح زیر اصلاح و تبصره‌های (2) و (3) آن ابقاء و یک تبصره به عنوان تبصره (4) به شرح زیر به آن الحاق می‌شود: ماده (66) - سازمان­های مردم‌نهادی که اساسنامه آنها در زمینه حمایت از اطفال و نوجوانان، زنان، اشخاص بیمار و دارای ناتوانی جسمی یا ذهنی، محیط‌زیست، منابع طبیعی، میراث فرهنگی، بهداشت عمومی و حمایت از حقوق شهروندی است، می­توانند نسبت به جرائم ‌ارتکابی در زمینه­های فوق اعلام جرم کنند و در تمام مراحل دادرسی شرکت کنند. تبصره1- درصورتی که جرم واقع‌شده دارای بزه­دیده خاص باشد، کسب رضایت وی جهت اقدام مطابق این ماده ضروری است. چنانچه بزه­دیده طفل، مجنون و یا در جرائم مالی سفیه باشد، رضایت ولی، قیم یا سرپرست قانونی او اخذ می­شود. اگر ولی، قیم یا سرپرست قانونی، خود مرتکب جرم شده باشد، سازمان‌های مذکور با اخذ رضایت قیم اتفاقی یا تأیید دادستان، اقدامات‌لازم را انجام می‌دهند. تبصره4- اجرای این ماده با رعایت اصل یکصد و شصت و پنجم (165) قانون اساسی است و در جرائم منافی‌عفت سازمان‌های مردم‌نهاد موضوع این ماده می‌توانند با رعایت ماده (102) این قانون و تبصره‌های آن تنها اعلام جرم نموده و دلایل خود را به مراجع قضائی ارائه دهند و حق شرکت در جلسات را ندارند.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	6	ماده 6- از انتهای ماده (80) قانون عبارت «در دادگاه کیفری مربوط» حذف و یک تبصره به شرح زیر به آن الحاق می‌شود: تبصره - مرجع تجدیدنظر قرار موضوع این ماده و سایر قرارهای قابل اعتراض مربوط به تحقیقات مقدماتی جرائمی که به‌طور مستقیم در دادگاه رسیدگی می‌شوند، دادگاه تجدیدنظر است.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	7	ماده 7- دو تبصره به شرح زیر به ماده (85) قانون الحاق می­شود: تبصره1- حکم این ماده در مواردی که پرونده با قرار موقوفی تعقیب یا با هر تصمیم دیگری در دادسرا مختومه می‌شود اما باید نسبت به پرداخت دیه تعیین تکلیف شود نیز جاری است. تبصره2- در مواردی که مسؤولیت پرداخت دیه متوجه عاقله است، در صورت وجود دلیل کافی و با رعایت مقررات مربوط به احضار، به وی اخطار می‌شود برای دفاع از خود حضور یابد. پس از حضور، موضوع برای وی تبیین و اظهارات او اخذ می­شود. هیچ‌یک از الزامات و محدودیت‌های مربوط به متهم در مورد عاقله قابل اعمال نیست. عدم حضور عاقله مانع از رسیدگی نیست.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	8	ماده 8- در ماده (92) قانون، عبارت «مستوجب مجازات‌های مقرر در ماده (302)» جایگزین عبارت «موضوع ماده (302)» و قبل از کلمه «بازپرس» کلمه «کمبود» جایگزین کلمه «نبودن» می‌شود.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	9	ماده 9- یک تبصره به شرح زیر به ماده (98) قانون الحاق می‌شود: تبصره - در بندهای(الف)، (ب)، (پ) و(ت) ماده(302) این قانون نیز بازپرس می‌تواند با همکاری ضابطان دادگستری تحقیقات لازم را انجام دهد.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	10	ماده 10- ماده (102) قانون و تبصره (1) آن به شرح زیر اصلاح و تبصره‌های (2) و (3) آن ابقاء می‌شود. ماده (102)- انجام هرگونه تعقیب و تحقیق در جرائم منافی عفت ممنوع است و پرسش از هیچ فردی در این خصوص مجاز نیست، مگر در مواردی که جرم در مرئی و منظر عام واقع شده و یا دارای شاکی یا به عنف یا سازمان‌یافته باشد که در این صورت، تعقیب و تحقیق فقط در محدوده شکایت و یا اوضاع و احوال مشهود توسط مقام قضائی انجام می‌شود. تبصره1- در جرائم منافی عفت هرگاه شاکی وجود نداشته باشد و متهم بدواً قصد اقرار داشته باشد، قاضی وی را توصیه به پوشاندن جرم و عدم اقرار می‌کند.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	11	ماده 11- در تبصره ماده (145) قانون عبارت «جلب به دادرسی» جایگزین کلمه «مجرمیت» می‌شود.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	12	ماده 12- در ماده(151) قانون عبارت «با تأیید رئیس کل دادگستری استان» به عبارت «با تأیید رئیس حوزه قضائی» تغییر می‌یابد.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	13	ماده 13- ماده (159) قانون به شرح زیر اصلاح می­شود: ماده (159)- بازپرس هنگام ارجاع موضوع به کارشناس، مهلت معین را برای اعلامنظر وی مشخص میکند. در مواردی که اظهارنظر مستلزم زمان بیشتر باشد، کارشناس باید ضمن تهیه و ارسال گزارشی از اقدامات انجام‌شده، با ذکر دلیل، تقاضای تمدید مهلت کند که در ای-ن صورت، بازپ-رس می‌تواند برای ی-ک‌بار مه-لت را ت-مدید کند. تم-دید مهلت به کارشناس و طرفین ابلاغ میگردد. ‌هرگاه کارشناس ظرف مدت معین نظر خود را به‌طور کتبی تقدیم بازپرس ننماید، کارشناس دیگری تعیین می‌شود. چنانچه قبل از انتخاب یا اخطار به کارشناس ‌دیگر نظر کارشناس به‌ بازپرس واصل شود، به‌آن ترتیب اثر می‌دهد. در هر حال بازپرس تخلف کارشناس را به مرجع صلاحیتدار اعلام می‌کند.
eslah_ayeen_dadrasi_keyfari	قانون اصلاح قانون آیین دادرسی کیفری	14	ماده 14- تبصره (1) ماده (190) قانون به شرح زیر اصلاح می‌گردد: تبصره1- سلب حق همراه داشتن وکیل و عدم تفهیم این حق به متهم به ترتیب موجب مجازات انتظامی درجه هشت و سه است.
